"Title","Gross Value Added - Monthly (Index 1dp) :CVM SA"
"CDID","ECY2"
"Source dataset ID","MGDP"
"PreUnit",""
"Unit",""
"Release date","12-06-2025"
"Next release","11 July 2025"
"Important notes",
"1997 JAN","62.0"
"1997 FEB","62.5"
"1997 MAR","62.6"
"1997 APR","63.3"
"1997 MAY","62.7"
"1997 JUN","63.0"
"1997 JUL","63.4"
"1997 AUG","63.4"
"1997 SEP","63.6"
"1997 OCT","64.0"
"1997 NOV","64.2"
"1997 DEC","64.7"
"1998 JAN","64.6"
"1998 FEB","65.0"
"1998 MAR","64.9"
"1998 APR","65.5"
"1998 MAY","65.2"
"1998 JUN","65.3"
"1998 JUL","65.5"
"1998 AUG","65.6"
"1998 SEP","65.6"
"1998 OCT","65.9"
"1998 NOV","66.1"
"1998 DEC","66.3"
"1999 JAN","66.3"
"1999 FEB","66.6"
"1999 MAR","66.6"
"1999 APR","66.4"
"1999 MAY","67.0"
"1999 JUN","67.1"
"1999 JUL","67.6"
"1999 AUG","67.9"
"1999 SEP","68.3"
"1999 OCT","68.8"
"1999 NOV","69.1"
"1999 DEC","69.0"
"2000 JAN","69.9"
"2000 FEB","69.7"
"2000 MAR","69.5"
"2000 APR","69.9"
"2000 MAY","70.4"
"2000 JUN","70.6"
"2000 JUL","70.4"
"2000 AUG","71.1"
"2000 SEP","70.9"
"2000 OCT","71.0"
"2000 NOV","71.3"
"2000 DEC","71.6"
"2001 JAN","71.8"
"2001 FEB","71.8"
"2001 MAR","72.2"
"2001 APR","72.1"
"2001 MAY","72.1"
"2001 JUN","72.4"
"2001 JUL","72.4"
"2001 AUG","72.6"
"2001 SEP","72.5"
"2001 OCT","72.7"
"2001 NOV","72.7"
"2001 DEC","72.6"
"2002 JAN","72.8"
"2002 FEB","72.8"
"2002 MAR","72.9"
"2002 APR","73.3"
"2002 MAY","73.9"
"2002 JUN","72.1"
"2002 JUL","73.4"
"2002 AUG","73.7"
"2002 SEP","73.9"
"2002 OCT","74.1"
"2002 NOV","74.4"
"2002 DEC","74.3"
"2003 JAN","74.6"
"2003 FEB","74.9"
"2003 MAR","74.7"
"2003 APR","75.4"
"2003 MAY","75.2"
"2003 JUN","75.7"
"2003 JUL","75.9"
"2003 AUG","76.0"
"2003 SEP","76.4"
"2003 OCT","76.8"
"2003 NOV","76.6"
"2003 DEC","76.9"
"2004 JAN","76.9"
"2004 FEB","76.9"
"2004 MAR","77.2"
"2004 APR","77.1"
"2004 MAY","77.4"
"2004 JUN","77.6"
"2004 JUL","77.6"
"2004 AUG","77.4"
"2004 SEP","77.7"
"2004 OCT","78.0"
"2004 NOV","78.1"
"2004 DEC","78.1"
"2005 JAN","78.8"
"2005 FEB","78.8"
"2005 MAR","78.5"
"2005 APR","79.5"
"2005 MAY","79.2"
"2005 JUN","79.7"
"2005 JUL","80.1"
"2005 AUG","80.1"
"2005 SEP","80.4"
"2005 OCT","80.2"
"2005 NOV","81.0"
"2005 DEC","81.7"
"2006 JAN","81.4"
"2006 FEB","81.3"
"2006 MAR","81.7"
"2006 APR","81.5"
"2006 MAY","81.8"
"2006 JUN","82.0"
